PuzzleId,SF_Material,SF_Positional,SF_Final_Eval
q3ypp,0.63,0.37,1.12
8R2lK,1.17,0.58,2.01
vFfC4,-0.32,0.31,0.0
1Sgv3,1.35,2.14,3.91
x6P5K,1.02,-0.12,1.02
lCjeg,-1.8,1.18,0.66
TXR1q,0.39,-0.1,-0.29
6baBm,-1.68,-1.61,-4.2
5Lvz7,,,
qw9WB,0.38,-0.54,0.19
Ml3V3,0.25,0.09,-0.39
Dzu8T,-0.48,0.52,-0.07
YMmob,1.28,2.13,-3.74
4levs,-0.14,-0.49,0.68
OUxg7,0.0,-0.09,0.11
lCWTB,-0.05,0.04,-0.01
6qhtI,-0.32,0.14,0.21
iS771,-0.12,0.61,-0.63
vzgIE,0.37,0.0,-0.38
el0wH,1.61,-2.47,-1.03
6TZFc,0.35,-0.02,0.41
IUd6H,0.24,1.4,-2.05
64G07,0.44,-0.56,-0.18
R4lyI,0.85,-0.22,-0.64
9Ydh8,0.31,-1.1,-0.97
AphFl,0.54,1.14,-2.01
px4eS,-1.49,1.35,-0.08
hMKNH,0.99,1.19,2.62
5vyuu,0.18,-0.28,-0.13
lHVby,,,
qnfo5,,,
c2dNh,-0.88,1.41,-0.69
IyuBa,0.74,1.67,2.56
mTZoz,-0.61,0.46,0.12
hGtKn,,,
fd0D2,,,
ytTjk,-0.65,-0.95,1.97
YQqq0,0.83,-1.18,-0.41
ZOUGO,0.72,0.41,1.37
YriUf,0.58,1.39,-2.37
sacdA,-0.25,0.38,0.19
mDzmj,-0.06,0.82,0.94
sfWR3,1.3,0.2,-1.59
bV7Ub,2.51,-1.67,-1.02
ZBqkU,,,
RI0NB,1.77,0.48,-2.64
w3aa7,1.48,0.16,1.83
wiGnL,0.74,1.34,-2.53
OLuKC,1.61,2.38,4.81
C2f4O,-0.2,-0.16,-0.41
s3vMq,4.42,-3.16,3.13
eu7ie,1.8,0.75,3.05
3w10z,0.26,-0.61,-0.39
kO7fv,0.84,1.21,-2.53
2zgjK,,,
3HbUI,1.07,1.57,-2.81
c1OGb,6.33,-1.83,4.51
AwQfi,0.64,1.56,2.73
KmAnd,-1.0,2.63,1.98
YXdrt,-0.49,0.45,-0.02
DeJsD,0.25,-0.48,0.29
Xtffh,0.78,-0.4,-0.42
hcGWr,-0.05,0.31,0.33
VvRDz,1.48,-0.88,-0.61
eRG8U,-0.42,-0.49,1.16
P2paz,0.74,0.99,-1.93
B9Ydc,1.28,-1.09,-0.15
tjoUG,,,
rceuo,,,
qeKHl,0.2,1.3,1.88
wnUHy,-0.55,-0.55,-1.19
TueEQ,,,
d6oVe,0.38,0.83,-1.53
E3SVH,0.84,0.69,-1.83
5edYn,1.13,-1.17,-0.1
rrfDv,0.78,-0.74,0.0
O1it4,0.45,-0.4,-0.03
N1itk,0.37,-0.25,-0.13
ZuJ1U,1.16,1.47,-3.26
TPVt4,0.51,-0.65,0.17
hHfiN,0.45,0.69,-1.43
uz7gu,,,
BlyuL,0.84,0.19,1.26
sOP0J,,,
U2fdP,0.93,-0.76,0.15
HqjWf,1.09,1.58,-3.12
AJeZm,1.72,0.95,-2.89
hwP2D,1.78,1.3,-3.4
p80pw,-0.54,-0.97,-1.75
5erRK,1.61,0.14,-2.06
BFrjH,-0.23,-0.76,1.22
6TN8H,1.14,-0.38,0.86
rq65R,,,
0LRt6,-0.29,-0.87,1.38
NG32J,,,
J4Zx8,0.11,-0.1,0.01
rvYO2,0.27,0.5,0.99
IH0Ji,0.1,-0.21,-0.14
s49I2,1.97,0.3,2.64
i5p2E,,,
QNPEp,4.77,0.11,-5.58
TqXfx,0.15,-0.14,0.0
WM7ZL,0.05,0.8,1.03
Fy12u,-0.17,0.25,0.1
5h7UR,,,
ofEHq,0.78,1.41,-2.35
iWnOr,,,
l41q3,0.08,0.16,-0.31
dzsSc,,,
spdFa,1.0,-0.29,0.72
QI6X6,0.46,0.85,1.44
30jQb,0.5,-1.89,1.71
SWwjf,0.45,0.57,-1.27
vfImd,-0.22,0.18,0.04
EroHx,1.06,-0.11,-1.1
aTifW,-0.44,-0.13,-0.66
aClL9,2.67,-1.46,-1.22
aFeXY,-0.13,0.23,0.14
znxZA,,,
UkIRF,,,
AYfGe,-1.06,-0.03,-1.08
MRJBU,-0.47,1.18,0.91
2j9M5,-0.01,0.16,-0.18
jnLbV,2.65,-0.6,2.14
acCU4,0.13,-1.47,1.58
jBg3i,1.65,-2.56,-0.97
nHkIN,-0.17,-0.58,-0.87
uMM0k,0.6,0.56,-1.45
E1PR5,0.05,-0.1,0.06
1tpno,0.13,-1.01,-1.1
Rza2W,1.62,0.39,2.43
IWQb3,0.87,0.25,1.32
2yRKK,0.06,1.31,1.73
uaOKS,0.72,0.49,-1.45
S4Gk5,1.04,2.13,-3.68
QzUd0,-0.02,0.42,0.5
YgdBD,2.38,-0.89,-2.11
vhluu,0.03,0.74,-0.95
5udhh,0.79,0.14,1.07
QtceZ,3.35,1.24,-5.87
mDTge,-1.71,-0.22,2.27
g9UxO,0.23,1.74,-2.2
pJK4S,0.7,-0.6,0.07
gkb8a,-2.06,0.43,1.79
MdtDF,0.25,0.17,-0.53
aoocH,0.05,0.1,-0.15
HEDQ1,-0.3,-0.33,-0.77
zv3fn,0.01,0.17,-0.22
sFUX4,1.02,1.22,-2.54
dfouq,0.35,1.14,1.7
RWSsl,,,
b2m0X,3.07,0.85,4.19
92KRy,2.58,-1.79,0.75
K2ZDI,-0.26,-0.07,-0.33
jzxGT,0.72,-0.13,-0.67
lJwSu,0.11,0.59,-0.85
F747W,,,
l4klq,0.41,-0.08,0.36
bFrOZ,0.11,-0.21,-0.12
ulmDs,-0.03,-0.38,-0.44
chYHP,-0.47,0.8,0.43
7Nf01,-0.26,0.51,0.29
YJMlT,-0.14,1.2,1.36
NgtUZ,0.49,0.47,1.14
gOsCU,,,
o9HQa,0.05,0.16,0.26
1FmfS,0.02,0.05,-0.08
hpo3I,-0.08,-1.19,-1.4
9OgOt,0.78,0.56,1.46
8Hi2J,0.1,0.56,0.8
NpUPe,0.09,-0.23,0.17
jsHYC,,,
14K49,-0.2,0.03,0.18
SqKpx,-0.14,0.22,-0.11
KasxP,-0.45,0.41,-0.02
ebLkx,-0.26,-0.03,-0.31
X9Fd6,0.33,0.74,-1.13
5DGIb,0.47,-0.47,-0.03
8AefW,0.72,0.67,1.56
Si6KT,1.05,-0.44,-0.65
UShkM,1.04,0.93,-2.3
hnSvK,,,
TdNZF,0.39,0.56,-1.17
acW6S,0.52,-2.15,1.95
HrF4H,-0.04,0.72,0.78
q2oJR,-0.15,0.24,0.1
0JPHv,1.01,2.83,-4.53
U7NLb,0.33,0.76,-1.29
JQto5,0.54,0.26,-0.97
FIC4z,0.83,2.05,-3.07
1K9ey,,,
Robgh,0.09,-0.08,-0.01
0Rts1,0.89,-0.89,0.04
iN63C,0.26,-0.33,-0.09
6tRzj,,,
SZjL1,1.95,-1.38,0.54
QHcna,1.11,-0.71,-0.4
UT80K,1.15,0.3,-1.81
7kw6R,2.52,-0.28,-1.66
nO3zZ,2.4,1.02,4.14
olRKB,0.12,-0.17,0.06
g7yA8,0.88,-0.56,-0.32
Dqf3l,0.01,-0.33,-0.38
nW27q,,,
NFLCO,,,
4x8RV,-0.53,0.51,0.0
p5VwD,0.29,0.72,-1.1
tV7JE,-0.09,-0.06,0.18
D5m5V,,,
IhCno,2.27,-3.22,-0.87
Uai98,1.32,0.4,-1.95
RiCfV,-0.04,0.65,0.65
xL7zt,2.5,-0.86,-1.68
PB2f9,,,
cuiE8,0.28,-0.76,-0.53
b733l,-0.32,0.48,-0.19
R4exw,0.44,-1.18,0.91
tp0st,-0.87,2.15,1.63
JQB7P,1.11,-1.23,-0.17
iOtRd,2.19,-2.3,0.24
SEWzl,0.08,-0.35,0.28
N8Hgc,0.06,-0.09,-0.04
HHkJ7,-0.1,0.72,0.78
OwiO8,1.0,0.9,2.33
k5muT,0.87,-1.33,0.6
Frmik,,,
VK3H5,-0.42,-0.07,-0.56
UJZjb,1.5,-1.13,0.35
zylzQ,0.17,0.27,0.51
60145,,,
GiSeA,-0.27,-1.43,2.05
8xBSa,,,
nm7z6,-0.54,-0.63,1.33
nRNqs,0.0,-0.17,0.21
s5djh,1.74,0.17,2.0
VaTn7,0.38,1.19,-1.56
GfzMy,,,
tco7e,-0.67,0.66,0.03
O8vQH,3.11,0.15,-3.56
5potO,-0.07,0.11,-0.04
fgP95,2.51,-2.88,0.53
cSyuG,0.44,0.61,1.34
PmcZ4,,,
8bo0c,0.04,-0.55,0.54
OizhD,0.08,-0.1,0.02
jcPec,1.24,1.21,2.73
ioBuv,,,
xWWbo,1.1,1.62,3.09
lwXDs,1.71,-0.39,-1.41
wyRgt,1.79,1.65,4.35
NN84M,-2.33,0.13,2.6
CZG4t,0.01,0.28,-0.32
sr7cl,0.59,-0.76,-0.25
evN3q,0.46,-0.21,-0.24
PDipL,0.12,0.2,0.37
5HJgm,-0.42,-0.39,-1.02
uQwDn,0.19,-1.17,-1.1
95sG7,-0.2,-0.26,-0.51
yuUoA,,,
mCuhf,0.03,-0.08,-0.07
aPyYP,-0.73,0.79,-0.1
LH5UG,1.9,-1.58,0.23
6lA4r,-0.15,0.08,-0.08
hZH3L,-0.61,0.25,-0.4
h5hHx,,,
k8WIt,1.32,0.64,2.39
DoWpw,,,
8qmVx,0.41,0.73,-1.33
JXZXx,0.25,0.45,0.85
5pLAM,-0.25,-1.04,-1.49
0nSAK,,,
J6riF,4.58,-2.04,2.0
qumt6,-0.29,-0.75,-1.12
Tc6Pk,-0.12,0.67,-0.7
rS6Pn,1.04,0.25,1.31
mQ1tX,-0.02,0.41,-0.52
voN1A,0.21,-0.9,0.86
geudJ,2.08,-2.48,0.54
tgYe4,-0.76,-0.7,1.83
xxkKW,-0.39,-0.02,0.51
DNlRk,,,
ZBhQD,1.02,2.09,-3.45
R6HQv,0.98,2.1,3.32
2dZYM,,,
iE7Do,-0.55,0.49,-0.04
Ene0e,0.36,-0.47,0.17
WxXLE,0.18,0.31,-0.61
wSk1E,0.32,-0.17,0.15
kYdkC,0.82,-1.04,0.32
HnKt4,2.77,-2.61,1.2
A6epD,0.16,0.12,-0.36
OYxwY,0.02,0.02,0.03
J36Xo,0.89,-0.24,-0.74
BcpEc,3.1,-1.6,-1.41
t5TX3,2.52,-1.17,-1.38
Wdqty,-0.37,-0.39,0.94
QM0X8,-2.23,2.62,-0.54
3vpfD,0.86,0.22,-1.35
JFXbL,4.76,0.15,-6.75
rSLGP,0.45,0.6,1.31
LUUPF,-0.35,-1.14,1.83
1kCoX,,,
YIpa6,0.14,0.24,-0.41
eKRUl,,,
A7ps7,0.11,0.31,-0.52
KpLds,1.53,1.31,-3.16
RwNVa,-1.78,0.59,1.39
ryYKR,-1.1,-1.54,3.34
nQTuJ,1.98,-1.1,-1.12
CH2BI,0.27,0.19,-0.58
BZRlJ,-0.32,0.21,-0.12
cr235,0.06,0.27,0.39
AUDZ4,0.32,-0.28,0.03
z3YsY,0.38,-1.26,1.04
EZ2tX,0.16,0.1,0.33
Y7CKd,0.05,-0.35,0.37
lwuaa,0.84,0.95,2.16
rIItr,-0.82,1.73,1.14
Gdzot,-0.79,0.54,-0.25
7XTP2,-0.55,-0.81,-1.64
eaZJ6,0.44,0.64,1.22
ECwiG,2.4,-0.19,2.45
bTkSz,2.15,0.17,2.54
RPqcS,0.04,-1.95,2.3
LQ1Yz,,,
mEqN4,0.62,0.39,-1.18
dWVu1,0.24,0.78,-1.08
REttm,1.22,-0.62,-0.67
3x1Dc,,,
bv9ZS,0.6,-2.37,2.1
KLFkw,1.67,1.38,3.41
ohbPb,4.39,0.71,5.68
dzHmb,2.06,0.19,-2.6
0XKgL,0.76,1.51,-2.58
MC4hw,1.56,0.56,-2.52
yZyzg,0.39,-0.21,-0.17
qyTdj,,,
XMa5G,-0.15,0.06,0.08
Thh7g,0.5,1.65,2.44
nPf0y,1.76,0.37,2.48
k3Fl8,-0.02,-0.51,0.66
GE0ck,-0.51,-0.51,1.35
BxLzJ,0.95,-0.51,-0.47
QrFoy,0.61,-0.7,0.13
EgCdi,0.39,-0.5,0.14
JZtyb,0.39,0.4,1.03
k6ufp,2.35,0.33,2.76
hcjpX,-0.12,-1.63,1.83
l2iEG,0.95,1.59,3.06
6q5bh,0.4,-0.58,-0.24
UpU4P,-0.5,-0.22,0.9
yG8jb,1.2,1.08,2.75
rkqD4,2.48,-2.51,0.16
WqsFF,-0.02,-0.45,-0.57
Fp9Dg,-0.11,1.35,1.46
oru00,1.69,1.16,3.47
kMJ8J,-0.11,1.39,-1.31
3bhLg,-0.31,0.31,-0.01
mUhDx,0.52,2.36,2.91
zeirT,-0.07,0.12,-0.06
yIiav,1.43,-0.17,-1.32
uEEQf,0.12,0.14,-0.33
9qWQO,-1.32,0.73,0.63
URD8N,,,
Fszrr,0.78,0.31,1.25
jAxEs,,,
evEN9,0.78,1.15,-2.18
rcn1y,0.27,-2.09,-1.97
su8gg,-0.2,0.9,0.82
buNLC,0.36,-0.28,-0.07
F1EAa,0.26,-0.07,0.21
8zwQz,0.77,0.97,2.23
YbLvh,-0.61,-0.64,1.4
NyRKP,,,
BV0pE,-0.29,0.75,0.59
wD4va,1.19,1.54,-2.93
j8ZbY,0.19,0.93,1.34
bhRuF,-1.5,0.69,-0.9
aFFGk,1.99,-1.27,-0.72
kkfve,,,
E5lJS,0.16,-0.47,-0.34
NIrEA,,,
v06YJ,-0.01,0.11,-0.13
aYsEF,-0.19,0.22,0.04
dMA48,0.32,-0.64,-0.36
ZoPbg,0.28,-0.22,-0.06
1Uawa,3.28,2.5,-4.31
t12lD,-0.24,0.22,0.01
afAQG,-1.27,-1.18,-2.89
bDoTu,,,
WhC6f,-0.2,0.07,0.14
HGuLO,,,
ug1Gs,0.01,-0.27,0.3
jgkHQ,3.7,0.13,-3.68
DnPPX,,,
bWqTK,-0.07,0.04,-0.03
OYd31,0.19,-0.18,0.0
LliI2,-0.33,-0.14,-0.55
XLsGJ,0.16,-0.15,-0.01
VJ1iU,-0.35,0.36,-0.03
5ehMO,,,
3BaSQ,-0.22,-0.4,-0.68
tSvph,-0.16,1.39,1.29
XFEeB,1.38,0.01,-1.62
ltkLy,0.06,1.36,1.51
vXTyW,1.34,0.46,-2.07
AuYCB,0.19,0.16,-0.44
RJheV,0.46,-0.07,0.48
oSLs9,1.62,0.69,2.43
Q7Wac,0.23,-1.03,-0.89
w5R6w,,,
kJ2pb,-0.28,0.3,-0.03
YyvvV,1.65,0.35,2.27
aQRvj,1.89,-0.07,-1.96
SWj3o,-0.09,0.71,-0.75
Jjsnw,-0.08,-0.77,1.0
2Jvl6,0.45,-0.91,-0.56
rTn9h,,,
tKfFP,2.34,3.18,5.85
gH7G1,1.56,1.49,-3.37
1fF6i,,,
dZ23D,,,
aXwFz,2.9,-0.62,2.36
47Sjg,0.61,-0.4,-0.21
BdlPD,,,
pRwkf,-0.07,0.18,-0.12
p5vwv,0.01,-0.01,0.0
1dTCt,-0.14,0.14,0.01
tRfP2,,,
fBpUF,,,
eRvA3,,,
kazPh,,,
1Nleh,0.36,-1.18,1.01
H8BEh,0.13,0.56,-0.82
Agem5,,,
ow09e,-0.13,-0.2,0.43
YPB1X,-0.05,-0.36,0.43
qXSB2,0.84,-0.74,-0.07
UC8WT,3.93,-2.06,1.21
0hhCl,1.31,0.94,-2.61
fsMOI,-0.03,1.79,-2.01
fOMA5,-0.56,0.15,-0.49
1PLwF,0.62,-0.74,0.18
6KF3v,,,
EwUry,2.64,0.01,-2.68
QqFk6,-0.44,0.06,0.47
W3GD8,0.21,-0.11,0.11
Dx4V7,-0.69,-0.81,1.9
bP6g7,1.1,-0.46,-0.69
mwowT,,,
5aOuK,1.87,-1.46,0.36
baJZG,1.11,0.09,1.37
1qPyy,,,
UkL0n,0.37,1.34,-1.87
O0Kgv,0.78,-0.33,0.42
WLADd,0.44,-0.15,0.3
VglB1,0.7,0.31,1.3
tDeX7,0.9,0.44,-1.5
SXhoV,-1.41,0.26,-1.35
0oR02,2.61,1.34,4.57
anss3,-1.02,0.12,0.95
UAHSn,0.64,0.41,1.3
IHFxX,-1.99,-0.16,2.56
S8MnH,,,
764aS,4.75,-0.62,2.84
7hMXC,0.12,1.02,-1.45
bpfVi,-0.35,-0.67,-1.12
WKVKj,2.82,-1.61,1.23
dyT7V,-2.18,0.67,-1.59
K00W0,,,
6mMCy,-0.19,0.04,-0.17
FCj81,0.77,1.27,-2.47
YVxmR,0.73,-1.52,0.96
7Gulw,-0.52,0.98,0.54
pDOAT,0.1,-0.15,0.06
hcPvC,0.37,1.33,2.22
dgjef,0.41,0.34,-0.92
Da7ZU,2.4,0.49,3.17
KeiUY,-0.02,-0.14,-0.17
PYhtb,,,
UhYAp,0.2,0.11,-0.38
emyY6,0.19,-0.07,0.13
rVV09,0.03,-0.01,-0.02
24xyi,1.78,-0.07,-1.99
gAwAx,0.49,0.06,-0.65
RKQQX,2.39,0.54,1.09
skQIe,-0.65,0.31,0.36
Nbs5c,1.9,0.33,-2.53
6Kn6r,0.98,1.65,3.21
7ngQZ,0.02,0.82,0.99
SwWr4,,,
tR842,-0.29,-0.45,-0.77
r5UxH,1.19,-2.08,1.03
zZTFM,-1.11,0.45,-0.66
NHB04,0.2,-0.26,0.07
5WkU6,0.35,0.64,1.2
1MXnh,-0.74,2.08,-1.65
q9e6z,,,
1TkYZ,2.74,-1.18,1.9
ncIKl,0.16,1.5,1.97
RWEBT,1.01,-0.23,0.78
QtYKU,-0.17,0.81,0.77
uQIJ8,0.83,-1.09,-0.37
kNccC,2.18,0.78,-3.28
SAgHE,,,
XFbts,0.17,0.71,0.98
T9OWE,0.51,1.15,1.82
MamPo,0.46,0.44,1.11
jH1vi,-0.46,-0.68,-1.36
I0PZX,0.94,0.63,1.78
GNmFK,-1.91,-0.63,2.83
toMxN,2.08,-0.9,1.31
fh6kD,1.33,1.68,3.5
Uj2kC,0.33,-0.03,0.37
DtoN0,0.26,0.28,0.7
VUbjm,,,
l0N7X,-0.04,-0.02,-0.06
LkAaZ,-0.1,0.25,0.15
Ibh9O,,,
ae92m,1.81,0.19,-2.17
j9CtF,-0.01,0.03,0.03
T3omU,,,
Gxf16,-0.17,0.47,0.38
J4qtv,,,
lLMYv,-1.65,0.79,0.97
aFZuA,2.15,0.75,-3.29
marvq,-0.11,-0.08,0.23
m38r9,1.9,-1.6,0.22
ao21W,-0.58,-1.03,1.94
NIQde,0.68,0.11,-0.93
jW0zW,3.67,0.34,-3.87
KWNxv,,,
yVqKP,-0.62,-0.53,-1.42
nuuda,-0.66,-0.3,1.14
aw6vp,0.26,-0.26,0.02
Y71jg,2.65,1.12,3.99
L4CHS,-0.04,0.78,-0.87
lcrpL,,,
Ai4SL,-0.82,-0.46,1.64
Bai5b,-0.19,0.25,-0.07
FSXEe,1.25,0.88,-2.26
tWNbL,,,
OyZFy,7.87,-0.19,-7.13
kTxTN,0.6,1.28,2.34
bT5Lk,0.44,0.23,-0.83
t0CYT,-0.09,-0.68,-0.81
J3eXJ,-0.24,0.69,-0.56
DRcjh,0.72,-0.46,0.25
GaOYc,0.48,1.19,1.68
FvoL0,0.08,0.12,0.25
yvxEG,0.19,0.51,0.92
gzbNc,0.35,-0.15,0.24
OIjrm,,,
WhKGr,1.55,0.34,2.25
tu5Tt,0.31,-0.72,0.51
zn4Xo,0.23,-0.14,0.09
G2jPp,-0.14,0.19,-0.07
Lp6lc,2.17,0.72,-2.35
Hm204,4.35,0.29,-4.7
Kky5k,0.74,-0.12,0.7
psHX3,-0.03,0.16,0.14
hTqDw,-0.11,0.2,0.11
xzfBx,0.44,0.72,-1.31
010ZV,0.45,-0.43,0.0
3QA8V,-0.12,0.06,0.06
kZFwq,0.62,0.77,1.73
9Thm5,-0.0,1.3,-1.67
5yX8U,-0.17,0.11,-0.06
UAJyU,2.53,0.28,2.41
Lq5wW,1.28,0.51,-2.15
5uGqF,-0.46,0.5,-0.07
GWL3w,-0.23,-0.59,-0.88
XZS04,0.01,0.55,-0.74
3eAny,-0.07,-0.24,0.32
ufB51,0.62,1.31,-2.06
bkZOZ,-0.7,0.28,-0.45
SnxFV,0.75,1.46,-2.56
ec8Fq,0.45,-0.17,0.32
DobRR,0.09,-0.38,0.36
CFJ59,0.54,0.7,1.47
GanKO,1.63,-0.25,1.49
ymmBO,2.55,0.91,3.93
xukjt,-0.02,-0.12,0.15
9qGsa,0.23,0.1,0.38
WSQtp,,,
FJ0ee,3.72,0.68,-5.96
b7219,-0.24,0.15,-0.09
2L62Y,0.13,-0.3,0.19
MHElc,0.88,1.3,-2.68
0Pl1P,1.07,1.05,-2.37
5W5v5,0.42,0.33,-0.81
I1Skf,1.08,0.23,-1.49
ov6eW,0.28,0.35,0.81
ZaNZk,,,
FvvTb,0.46,-0.1,-0.38
BNZ8D,-0.02,0.09,0.08
jpgcz,1.1,1.29,-2.75
8yyyJ,-0.16,0.83,0.88
1eVpy,1.22,1.03,2.45
mySaR,0.28,-0.51,-0.3
evEEg,-0.17,-0.1,0.34
Zj4fI,2.95,-1.47,-1.18
f6K2E,-0.15,-0.09,0.29
kbTUP,-0.06,0.25,0.25
ku28B,0.73,0.84,1.67
FT6Ju,0.94,1.78,3.29
gP9Xq,-0.12,0.44,-0.37
x4XpB,0.1,0.88,-1.24
WeMi8,0.65,-0.06,0.7
JSs5F,-0.45,-0.52,-1.03
p0pFJ,0.05,-0.02,0.03
iJvY1,,,
NwfVB,-0.01,0.48,-0.49
iAJQq,1.1,0.94,2.43
M824L,0.83,-0.19,0.7
nJBUL,0.34,-0.24,0.08
UaU6U,,,
scY9G,-0.36,0.05,-0.35
ljXmt,0.32,-0.1,0.27
8SikH,0.02,0.44,0.53
opJ5S,0.47,-0.02,-0.47
nhvTc,1.79,0.91,3.12
BG7mI,1.7,-0.39,1.43
bQeea,0.04,0.36,0.48
Kzd3o,-0.17,0.43,-0.34
LZGQv,2.17,-0.32,1.81
yKVYy,,,
fFRT0,0.28,-0.3,0.03
buN4Z,3.41,-4.54,1.35
otxX7,0.58,-0.36,0.2
XSbmD,0.6,-0.07,0.55
yThl8,0.17,-0.34,-0.22
qnoC6,-0.2,-0.37,0.64
wU4pS,,,
BIOv6,-0.03,0.11,-0.08
G3KTe,1.82,0.51,2.7
alxi5,-0.11,-0.12,0.28
rKIKe,-0.05,1.03,1.17
p5pAR,-1.6,2.32,0.95
uJUIO,1.57,0.47,-2.4
NBNvM,,,
O5R4W,,,
LRZSM,1.44,-0.96,-0.46
ivMbU,-2.13,-0.07,2.37
o5ony,-0.41,0.27,-0.15
zgdkX,1.46,0.99,2.72
cXbQD,-0.46,0.02,-0.5
QevTI,-2.13,0.41,1.89
6D4D6,5.02,-2.81,-1.23
2r6qO,0.17,0.63,-1.01
ecZtM,0.28,0.82,-1.28
MUPw6,0.77,-0.38,0.4
ZBkO7,0.46,0.24,-0.81
cPq2I,-0.05,-0.38,0.53
IIrHW,,,
QnZsI,,,
UCQrX,-0.29,0.06,0.28
f7Bzu,1.18,0.4,-1.77
wMixP,,,
k9TaY,-0.46,0.37,-0.07
jn2Bx,-0.29,0.2,0.09
XtoL2,-0.14,-0.11,-0.28
6zBAi,1.46,0.32,1.87
iyBTX,0.09,1.11,-1.21
iBV1d,,,
